Series ID,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25
415_1,59,59,60,60,59,61,61,60,60,60,60,60,60,60,60,60,60,61,61,61,57,61,63,65,56,57,54,,,
416_0,69,68,69,68,70,69,69,68,70,69,69,70,69,70,70,70,69,68,70,70,70,73,76,77,66,65,64,,,
416_1,48,48,48,48,48,48,48,48,48,48,48,49,48,49,48,48,49,48,48,48,49,53,54,55,52,53,51,,,
417_0,62,62,62,62,62,62,62,62,62,63,62,62,62,62,62,63,63,63,63,63,64,67,69,70,63,61,60,,,
417_1,46,46,46,46,46,46,46,46,46,46,46,47,46,46,47,47,46,46,47,47,47,50,52,53,50,50,48,,,
418_0,52,52,52,52,51,52,51,51,52,51,51,51,51,51,52,52,51,51,51,51,51,53,54,54,61,61,60,,,
418_1,42,42,43,42,42,42,42,42,43,42,42,42,42,42,43,43,42,43,42,42,42,44,45,46,51,51,49,,,
419_0,65,64,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,66,69,73,73,66,66,65,,,
419_1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,49,52,54,54,50,51,49,,,
420_0,60,60,60,59,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,60,61,63,64,64,61,61,59,,,
420_1,47,47,48,47,47,48,47,47,47,47,47,47,48,48,47,48,47,47,47,47,49,51,52,53,51,52,50,,,
421_0,68,70,70,69,68,69,69,66,69,69,69,69,68,69,69,70,69,69,69,69,70,72,73,71,65,64,63,,,
421_1,54,55,55,55,55,54,54,53,55,54,55,55,54,55,55,56,55,55,55,55,55,58,61,59,54,53,53,,,
422_0,73,76,76,75,65,74,75,75,66,74,75,76,74,73,75,76,76,71,75,76,76,73,79,80,69,69,68,,,
422_1,50,51,52,51,47,51,51,51,45,50,51,51,51,50,50,51,51,50,51,51,51,51,55,55,53,53,51,,,
423_0,86,86,86,85,85,84,85,84,85,86,86,85,85,86,86,86,85,86,86,86,86,87,87,86,74,74,73,,,
