Series ID,Wed Sep 26 2018 14:35:24 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 14:51:01 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 15:06:38 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 15:22:16 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 15:38:03 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 15:53:58 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 16:09:50 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 16:25:45 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 16:41:24 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 16:56:59 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 17:12:35 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 17:28:10 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 17:43:45 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 17:59:36 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 18:15:29 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 18:31:26 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 18:47:23 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 19:03:00 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 19:18:35 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 19:34:10 GMT-0500 (Central Daylight Time)
16_6,7840,7840,7840,7700,7700,7840,7840,7840,8120,8120,7840,7840,7840,7840,7840,7840,7840,7840,7840,
16_7,7840,7840,7910,7700,7700,7700,7910,7910,8120,8120,7840,7840,7840,7840,7910,7910,7840,7910,7910,
16_8,7700,7700,7840,7700,7700,7840,7840,7840,8120,8120,7840,7840,7840,7910,7840,7840,7840,7840,7840,
16_9,,,,,,,,,,,,,,,,,,,,
17_0,68,69,68,68,68,68,68,69,69,71,69,69,68,68,69,69,69,69,69,
17_1,57,57,57,57,57,57,56,57,57,58,57,57,57,57,57,57,57,57,57,
17_2,10,10,10,10,10,10,10,10,10,13,11,11,10,10,10,10,10,10,10,
17_3,0.495972,0.497639,0.497639,0.497361,0.497361,0.496528,0.496389,0.496389,0.49625,0.494444,0.494444,0.4975,0.4975,0.495833,0.494722,0.494722,0.495972,0.496389,0.496389,
17_4,91.58,91.59,91.59,91.59,91.59,91.59,91.59,91.59,91.59,91.59,91.59,91.59,91.59,91.59,91.59,91.59,91.6,91.6,91.59,
17_5,7840,7840,7910,7840,7840,7910,7910,7910,8120,8120,7910,7840,7840,7840,7840,7840,7840,7840,7840,
17_6,7840,7840,7840,7840,7840,7840,7700,7700,8050,8050,7840,7840,7840,7840,7700,7700,7910,7840,7840,
17_7,7840,7840,7840,7840,7840,7910,7910,7910,8120,8120,7910,7840,7840,7840,7840,7840,7840,7840,7840,
17_8,7840,7840,7910,7840,7840,7840,7700,7700,8050,8050,7840,7700,7700,7840,7700,7700,7840,7840,7840,
